"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","P~H in Scotland?"
"P. ramorum","Oleaceae",21,8,5,9,"Yes"
"P. cinnamomi","Asteraceae",4,1,NA,3,"Yes"
"P. ramorum","Griseliniaceae",4,NA,1,3,NA
"P. pseudosyringae","Plantaginaceae",1,1,NA,NA,NA
"P. cinnamomi","Malvaceae",2,NA,1,1,NA
"P. pseudosyringae","Aquifoliaceae",1,NA,1,NA,NA
"P. ramorum","Aquifoliaceae",10,3,7,NA,NA
"P. cinnamomi","Aquifoliaceae",4,4,NA,NA,"Yes"
"P. kernoviae","Ericaceae",734,34,688,28,"Yes"
"P. pseudosyringae","Ericaceae",59,4,48,7,"Yes"
"P. cinnamomi","Fabaceae",8,NA,3,5,NA
"P. pseudosyringae","Pinaceae",3,NA,3,NA,"Yes"
"P. cinnamomi","Lamiaceae",6,2,2,2,NA
"P. ramorum","Magnoliaceae",317,152,220,12,"Yes"
"P. kernoviae","Magnoliaceae",19,6,10,3,"Yes"
"P. pseudosyringae","Magnoliaceae",3,NA,3,NA,"Yes"
"P. cinnamomi","Magnoliaceae",2,1,1,NA,NA
"P. kernoviae","Berberidaceae",1,NA,1,NA,NA
"P. ramorum","Berberidaceae",1,1,1,NA,NA
"P. cinnamomi","Moraceae",2,NA,1,1,NA
"P. kernoviae","Myrtaceae",1,NA,1,NA,NA
"P. cinnamomi","Myrtaceae",5,1,2,2,NA
"P. ramorum","Polypodiaceae",1,NA,1,NA,NA
"P. ramorum","Nothofagaceae",5,NA,1,4,"Yes"
"P. pseudosyringae","Nothofagaceae",23,NA,3,20,"Yes"
"P. cinnamomi","Oleaceae",2,2,NA,NA,"Yes"
"P. ramorum","Pittosporaceae",1,1,NA,NA,NA
"P. ramorum","Platanaceae",1,NA,1,NA,NA
"P. cinnamomi","Salicaceae",2,NA,NA,2,NA
"P. pluvialis","Pinaceae",33,NA,32,1,"Yes"
"P. ramorum","Grossulariaceae",2,1,1,NA,NA
"P. cinnamomi","Grossulariaceae",3,NA,1,2,NA
"P. ramorum","Buxaceae",2,NA,NA,2,NA
"P. kernoviae","Cupressaceae",1,NA,1,NA,NA
"P. kernoviae","Rosaceae",1,1,NA,NA,NA
"P. ramorum","Taxaceae",3,1,1,1,NA
"P. cinnamomi","Taxaceae",129,16,111,2,"Yes"
"P. alni","Taxaceae",1,NA,1,NA,NA
"P. pseudosyringae","Malvaceae",1,NA,NA,1,NA
"P. ramorum","Viburnaceae",478,264,154,83,"Yes"
"P. cinnamomi","Viburnaceae",7,1,5,1,NA
"P. ramorum","Santalaceae",1,NA,1,NA,NA
"P. cinnamomi","Cephalotaxaceae",1,NA,NA,1,NA
"P. ramorum","Cephalotaxaceae",1,NA,NA,1,NA
