"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. pseudosyringae","Oleaceae",7,NA,NA,7
"P. cinnamomi","Pandanaceae",3,NA,NA,3
"P. cinnamomi","Onagraceae",6,NA,NA,6
"P. cinnamomi","Cyperaceae",7,NA,NA,7
"P. cinnamomi","Loganiaceae",3,NA,NA,3
"P. austrocedri","Ginkgoaceae",2,NA,NA,2
"P. ramorum","Proteaceae",1,NA,NA,1
"P. cinnamomi","Griseliniaceae",6,NA,NA,6
"P. ramorum","Poaceae",1,NA,NA,1
"P. cinnamomi","Haloragaceae",6,NA,NA,6
"P. ramorum","Hamamelidaceae",4,NA,NA,4
"P. cinnamomi","Plantaginaceae",5,NA,NA,5
"P. pseudosyringae","Araliaceae",3,NA,NA,3
"P. cinnamomi","Saxifragaceae",1,NA,NA,1
"P. cinnamomi","Dilleniaceae",24,NA,NA,24
"P. cinnamomi","Hypericaceae",8,NA,NA,8
"P. cinnamomi","Brassicaceae",2,NA,1,1
"P. cinnamomi","Salicaceae",2,NA,NA,2
"P. pseudosyringae","Aquifoliaceae",1,NA,NA,1
"P. cinnamomi","Aquifoliaceae",17,NA,NA,17
"P. cinnamomi","Iteaceae",1,NA,NA,1
"P. cinnamomi","Bignoniaceae",8,NA,NA,8
"P. pseudosyringae","Fabaceae",2,NA,NA,2
"P. pseudosyringae","Lauraceae",13,NA,NA,13
"P. cinnamomi","Scrophulariaceae",2,NA,NA,2
"P. cinnamomi","Liliaceae",4,NA,NA,4
"P. cinnamomi","Plumbaginaceae",2,NA,NA,2
"P. cinnamomi","Magnoliaceae",8,NA,NA,8
"P. ramorum","Caprifoliaceae",5,NA,NA,5
"P. ramorum","Myrtaceae",2,NA,NA,2
"P. cinnamomi","Solanaceae",6,NA,NA,6
"P. cinnamomi","Lycopodiaceae",9,NA,NA,9
"P. cinnamomi","Zamiaceae",8,NA,NA,8
"P. kernoviae","Magnoliaceae",2,NA,NA,2
"P. ramorum","Magnoliaceae",7,1,1,5
"P. ramorum","Asparagaceae",3,NA,NA,3
"P. cinnamomi","Apocynaceae",2,NA,NA,2
"P. cinnamomi","Melastomataceae",2,NA,NA,2
"P. cinnamomi","Violaceae",5,NA,NA,5
"P. cinnamomi","Nothofagaceae",44,NA,NA,44
"P. pseudosyringae","Nothofagaceae",4,NA,NA,4
"P. pluvialis","Fagaceae",3,NA,2,1
"P. cinnamomi","Meliaceae",3,NA,NA,3
"P. ramorum","Oleaceae",6,NA,NA,6
"P. cinnamomi","Orchidaceae",4,NA,NA,4
"P. cinnamomi","Passifloraceae",12,NA,NA,12
"P. cinnamomi","Iridaceae",4,NA,NA,4
"P. cinnamomi","Poaceae",4,NA,NA,4
"P. cinnamomi","Dipentodontaceae",2,NA,NA,2
"P. ramorum","Santalaceae",1,NA,NA,1
"P. cinnamomi","Podocarpaceae",21,NA,NA,21
"P. austrocedri","Pinaceae",2,NA,NA,2
"P. pluvialis","Pinaceae",230,NA,3,227
"P. pinifolia","Pinaceae",22,NA,1,21
"P. kernoviae","Pinaceae",47,NA,NA,47
"P. cinnamomi","Urticaceae",2,NA,NA,2
"P. cinnamomi","Anacardiaceae",1,NA,NA,1
"P. ramorum","Pittosporaceae",1,NA,NA,1
"P. cinnamomi","Platanaceae",21,NA,NA,21
"P. cinnamomi","Apiaceae",2,NA,NA,2
"P. cinnamomi","Polypodiaceae",6,NA,NA,6
"P. cinnamomi","Pteridaceae",2,NA,NA,2
"P. kernoviae","Ericaceae",20,1,10,9
"P. ramorum","Anacardiaceae",1,NA,1,NA
"P. pseudosyringae","Salicaceae",1,NA,NA,1
"P. cinnamomi","Sarraceniaceae",1,1,NA,NA
"P. cinnamomi","Sciadopityaceae",6,NA,NA,6
"P. ramorum","Cupressaceae",11,NA,NA,11
"P. cinnamomi","Stylidiaceae",9,NA,NA,9
"P. cinnamomi","Boraginaceae",2,NA,NA,2
"P. cinnamomi","Taxaceae",36,5,NA,31
"P. ramorum","Taxaceae",1,NA,NA,1
"P. pseudosyringae","Malvaceae",2,NA,NA,2
"P. ramorum","Primulaceae",7,NA,NA,7
"P. ramorum","Viburnaceae",106,14,2,90
"P. cinnamomi","Viburnaceae",7,NA,NA,7
"P. ramorum","Apocynaceae",1,NA,NA,1
"P. cinnamomi","Vitaceae",46,NA,NA,46
"P. cinnamomi","Xeronemataceae",5,NA,NA,5
"P. cinnamomi","Melanthiaceae",1,NA,NA,1
"P. kernoviae","Araucariaceae",1,NA,NA,1
"P. cinnamomi","Arecaceae",4,NA,NA,4
"P. cinnamomi","Salviniaceae",1,NA,NA,1
"P. cinnamomi","Pittosporaceae",1,NA,NA,1
"P. cinnamomi","Blandfordiaceae",3,NA,NA,3
"P. cinnamomi","Cephalotaxaceae",5,NA,NA,5
"P. cinnamomi","Cyrillaceae",1,NA,NA,1
"P. kernoviae","Moraceae",1,NA,NA,1
"P. ramorum","Onagraceae",1,NA,NA,1
"P. cinnamomi","Ginkgoaceae",1,NA,NA,1
"P. cinnamomi","Monimiaceae",1,NA,NA,1
"P. cinnamomi","Ranunculaceae",1,NA,NA,1
"P. cinnamomi","Philydraceae",1,NA,NA,1
"P. cinnamomi","Dasypogonaceae",1,NA,NA,1
"P. cinnamomi","Piperaceae",1,NA,NA,1
"P. ramorum","Araliaceae",1,NA,NA,1
"P. ramorum","Nothofagaceae",1,NA,NA,1
"P. cinnamomi","Polygalaceae",1,NA,NA,1
"P. kernoviae","Podocarpaceae",1,NA,NA,1
